total_iterations, iterations_per_second, memory_usage
515729345, 605839, 85647360
516333523, 604178, 85676032
516933078, 599555, 85700608
517544069, 610991, 85725184
518147985, 603916, 85753856
518757762, 609777, 85774336
519357778, 600016, 85798912
519965918, 608140, 85827584
520567614, 601696, 85848064
521174651, 607037, 85880832
521784339, 609688, 85913600
522381703, 597364, 85934080
522975428, 593725, 85966848
523585270, 609842, 85991424
524196851, 611581, 86016000
524805351, 608500, 86044672
525410721, 605370, 86069248
526019741, 609020, 86106112
526628046, 608305, 86138880
527232279, 604233, 86163456
527845717, 613438, 86192128
528454660, 608943, 86216704
529068411, 613751, 86245376
529675262, 606851, 86269952
530284403, 609141, 86294528
530884356, 599953, 86327296
531491536, 607180, 86351872
532083586, 592050, 86376448
532692369, 608783, 86401024
533298059, 605690, 86429696
533906515, 608456, 86454272
534509487, 602972, 86474752
535118845, 609358, 86503424
535726240, 607395, 86528000
536335120, 608880, 86552576
536944597, 609477, 86589440
537551792, 607195, 86609920
538156897, 605105, 86642688
538760607, 603710, 86667264
539365006, 604399, 86695936
539970735, 605729, 86720512
540575926, 605191, 86749184
541169481, 593555, 86773760
541769113, 599632, 86794240
542377204, 608091, 86818816
542986311, 609107, 86851584
543593561, 607250, 86876160
544199006, 605445, 86904832
544808294, 609288, 86933504
545416031, 607737, 86962176
546025926, 609895, 86986752
546632200, 606274, 87011328
547238080, 605880, 87040000
547845802, 607722, 87064576
548450957, 605155, 87089152
549057541, 606584, 87113728
549665240, 607699, 87150592
550271197, 605957, 87171072
550873609, 602412, 87199744
551468800, 595191, 87224320
552071552, 602752, 87248896
552676607, 605055, 87285760
553280867, 604260, 87310336
553886551, 605684, 87334912
554493242, 606084.9150849151, 87363584
555100229, 606987, 87384064
555705603, 605374, 87420928
556310959, 605356, 87445504
556917545, 606586, 87465984
557522975, 605430, 87494656
558129202, 606227, 87519232
558722710, 593508, 87547904
559322373, 599663, 87572480
559927787, 605414, 87601152
560532780, 604993, 87621632
561144235, 611455, 87650304
561743605, 599370, 87678976
562356596, 612378.6213786214, 87703552
562962544, 605948, 87724032
563567504, 604960, 87752704
564170750, 603246, 87777280
564773087, 602337, 87801856
565380388, 607301, 87830528
565983842, 603454, 87851008
566580549, 596707, 87879680
567174156, 593607, 87908352
567783897, 609741, 87932928
568372624, 588727, 87961600
568981553, 608929, 87990272
569585140, 603587, 88018944
570186595, 601455, 88043520
570791335, 604740, 88068096
571394525, 603190, 88092672
572000172, 605647, 88121344
572606654, 606482, 88145920
573213280, 606626, 88166400
573817455, 604175, 88195072
574418075, 600620, 88227840
575027017, 608942, 88256512
575633973, 606956, 88281088
576241991, 608018, 88305664
576830295, 588304, 88330240
577435321, 605026, 88358912
578039616, 604295, 88387584
578648098, 608482, 88412160
579252813, 604715, 88436736
579863398, 610585, 88461312
580470678, 607280, 88485888
581074453, 603775, 88514560
581676719, 602266, 88535040
582283154, 606435, 88563712
582888247, 605093, 88592384
583498608, 610361, 88621056
584103806, 605198, 88645632
584708043, 604237, 88670208
585318515, 610472, 88698880
585924700, 606185, 88723456
586524886, 600186, 88752128
587132261, 607375, 88772608
587740174, 607913, 88797184
588351308, 611134, 88821760
588966054, 614746, 88850432
589572413, 606359, 88870912
590176433, 604020, 88903680
590786484, 610051, 88928256
591396620, 610136, 88952832
592000896, 604276, 88981504
592602983, 602087, 89010176
593201721, 598738, 89034752
593810012, 608291, 89055232
594407475, 597463, 89079808
594975377, 567902, 89104384
595570381, 595004, 89128960
596178435, 608054, 89153536
596781635, 603200, 89182208
597382168, 600533, 89206784
597990352, 608184, 89235456
598595664, 605312, 89255936
599192465, 596801, 89284608
599801761, 609296, 89313280
600401438, 599677, 89337856
600986517, 585079, 89366528
601584287, 597770, 89387008
602186151, 601864, 89415680
602787442, 601291, 89440256
603385704, 598262, 89464832
603994477, 608773, 89489408
604596629, 601550.4495504496, 89518080
605199364, 602735, 89538560
605806798, 607434, 89567232
606418067, 611269, 89595904
607024226, 606159, 89620480
607618988, 594762, 89645056
608225140, 606152, 89673728
608830862, 605722, 89694208
609439224, 608362, 89718784
610045857, 606633, 89747456
610651632, 605775, 89776128
611248551, 596919, 89804800
611851085, 602534, 89833472
612457303, 606218, 89853952
613057952, 600649, 89890816
613660009, 602057, 89911296
614268904, 608895, 89939968
614875222, 606318, 89972736
615478132, 602910, 90001408
616088265, 610133, 90025984
616695774, 607509, 90054656
617302191, 606417, 90079232
617908784, 606593, 90103808
618515669, 606885, 90132480
619120056, 604387, 90157056
619722823, 602767, 90181632
620325634, 602811, 90206208
620930487, 604853, 90230784
621541368, 610881, 90255360
622147150, 605782, 90284032
622744912, 597762, 90312704
623339510, 594598, 90353664
623948821, 609311, 90374144
624554869, 606048, 90402816
625163937, 609068, 90427392
625777593, 613656, 90456064
626359661, 582068, 90476544
626967426, 607765, 90505216
627562477, 595051, 90529792
628172431, 609954, 90550272
628773441, 601010, 90578944
629380973, 607532, 90607616
629989607, 608634, 90636288
630600327, 610720, 90660864
631197454, 597127, 90681344
631803828, 606374, 90714112
